usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:41.507942]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:42.317206]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:42.509401]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:43.321961]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:43.510858]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:45.324497]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:45.513453]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:54.335685]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:56.338251]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:56.526833]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:12:10.352805]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:12:11.354240]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:12:11.541974]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:12:12.355645]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:12:12.543498]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:12:13.357054]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:12:13.544951]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:12:16.360671]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:15:01.559834]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:15:10.356583]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:15:10.357680]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:15:10.358062]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:16:19.860353]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:16:35.068128]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:16:35.872639]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:16:35.873753]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:16:35.874372]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:17:01.612874]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:17:06.953132]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:17:06.954543]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:17:06.955898]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:17:25.714898]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:17:37.713187]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:17:38.718573]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:17:48.753441]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:18:33.409075]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:18:37.620116]
A fumaça foi 'Não detectada'. [date: 2022-12-16, time: 15:20:48.146890]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:47:52.161628]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:48:00.075166]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:48:00.076408]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:48:00.076733]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:48:09.213937]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:48:11.672654]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:48:14.584433]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:48:21.528234]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:48:21.529563]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:49:05.571309]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:49:08.521893]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:49:08.523888]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:49:08.524400]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:49:10.429984]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:49:12.293849]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:49:12.295166]
A janela foi 'Aberto(a)'. [date: 2022-12-16, time: 15:49:21.671904]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:49:24.307011]
A janela foi 'Fechado(a)'. [date: 2022-12-16, time: 15:49:27.396344]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:49:29.312778]
A fumaça foi 'Detectada'. [date: 2022-12-16, time: 15:49:34.524424]
